scenario,arm,p50_s,p95_s,min_s,max_s,cv_pct,speedup_vs_python,rtf,peak_rss_mib,pcm16_max_lsb,deterministic,samples
Clone,Python fp32 (run 1),36.338074,37.531988,34.951672,37.590965,2.609,1.0000,7.6340,5551.7,,True,34.9517 35.9547 36.3381 37.2961 37.5910
Clone,C fp32 (torch-MKL AVX2),21.055294,21.703542,20.673785,21.819416,1.815,1.7258,4.4234,3058.2,3,True,20.6738 20.9395 21.0553 21.2400 21.8194
Clone,Python fp32 (run 2),37.383839,38.063487,37.231858,38.175324,0.893,1.0000,7.8537,5475.5,,True,37.2319 37.6161 38.1753 37.3838 37.3560
Clone,C int8 DiT (oneMKL VNNI),14.903994,15.426076,14.820516,15.491505,1.668,2.5083,3.1311,2247.7,27956,True,14.8205 14.8677 15.4915 15.1644 14.9040
Clone,Python fp32 (run 3),37.246081,37.866365,36.853970,37.940505,1.032,1.0000,7.8248,5441.8,,True,36.8540 37.0511 37.2461 37.5698 37.9405
Clone,C int8 DiT+codec,12.301841,12.443037,11.645446,12.460019,2.563,3.0277,2.5844,2048.2,23368,True,11.9047 11.6454 12.3751 12.3018 12.4600
